term_code,term_slug,term_label,crn,course_code,subject,course_number,course_title,primary_instructor,status,capacity,enrolled,units,modality,known_count,suppressed_bucket_count,observed_count_min,observed_count_max,all_buckets_suppressed,pdf_course_code,course_code_match,pdf_title_instructor_text,grade_a_count,grade_a_suppressed,grade_a_display,grade_a_min,grade_a_max,grade_b_count,grade_b_suppressed,grade_b_display,grade_b_min,grade_b_max,grade_c_count,grade_c_suppressed,grade_c_display,grade_c_min,grade_c_max,grade_d_count,grade_d_suppressed,grade_d_display,grade_d_min,grade_d_max,grade_f_count,grade_f_suppressed,grade_f_display,grade_f_min,grade_f_max,grade_cr_count,grade_cr_suppressed,grade_cr_display,grade_cr_min,grade_cr_max,grade_nc_count,grade_nc_suppressed,grade_nc_display,grade_nc_min,grade_nc_max,grade_p_count,grade_p_suppressed,grade_p_display,grade_p_min,grade_p_max,grade_np_count,grade_np_suppressed,grade_np_display,grade_np_min,grade_np_max,grade_w_count,grade_w_suppressed,grade_w_display,grade_w_min,grade_w_max,grade_fw_count,grade_fw_suppressed,grade_fw_display,grade_fw_min,grade_fw_max
202550,spring2025,Spring 2025,54278,ACCT 110,ACCT,110,Introduction to Accounting,Eva Schmidt,CLOSED,30,22,4,HY,0,11,0,22,true,ACCT 110,exact,"Introduction to Accounting Schmidt, E E",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,54280,ACCT 110,ACCT,110,Introduction to Accounting,Cornelia Alsheimer-Barthel,CLOSED,30,25,4,IP,0,11,0,25,true,ACCT 110,exact,"Introduction to Accounting Alsheimer-Barthel, C M",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,57101,ACCT 110,ACCT,110,Introduction to Accounting,Ben Reyes,CLOSED,30,27,4,HY,14,10,14,27,false,ACCT 110,exact,"Introduction to Accounting Reyes Jr, B",14,false,14,14,14,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,68319,ACCT 110,ACCT,110,Introduction to Accounting,Robert Smagula,CLOSED,30,47,4,OL,29,9,29,47,false,ACCT 110,exact,"Introduction to Accounting Smagula, R J",16,false,16,16,16,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,13,false,13,13,13
202550,spring2025,Spring 2025,67955,ACCT 150,ACCT,150,Introduction To Accounting Software And Systems,Laura Woyach,CLOSED,35,30,4,OL,16,10,16,30,false,ACCT 150,exact,"Intro To Accounting Software Woyach, L B",16,false,16,16,16,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,68673,ACCT 160,ACCT,160,Accounting With Quickbooks,Eva Schmidt,CLOSED,35,30,3,OL,18,10,18,30,false,ACCT 160,exact,"Accounting With Quickbooks Schmidt, E E",18,false,18,18,18,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,54282,ACCT 230,ACCT,230,Financial Accounting,Robert Smagula,CLOSED,35,33,5,OL,16,10,16,33,false,ACCT 230,exact,"Financial Accounting Smagula, R J",16,false,16,16,16,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,54283,ACCT 230,ACCT,230,Financial Accounting,Laura Woyach,CLOSED,35,33,5,IP,25,9,25,33,false,ACCT 230,exact,"Financial Accounting Woyach, L B",12,false,12,12,12,13,false,13,13,13,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,54284,ACCT 230,ACCT,230,Financial Accounting,Ben Reyes,CLOSED,35,38,5,OL,28,10,28,38,false,ACCT 230,exact,"Financial Accounting Reyes Jr, B",28,false,28,28,28,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,54285,ACCT 230,ACCT,230,Financial Accounting,Laura Woyach,CLOSED,35,35,5,OL,0,11,0,35,true,ACCT 230,exact,"Financial Accounting Woyach, L B",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
